Time_to_land;Initial_time;ARP_distance;ARP_azimuth;Heading;Altitude;IAS;GS;Barometric_pressure;Wind_direction;Wind_variability;Wind_speed;Visibility;European_airlines;American_airlines;Latam_airlines;Other_airlines;Day_of_the_week;Mix_index;WTC;RWY
786;64657;67947.92022;276.0817569;273.8778758;3215.64;292;492;1016;230;0;8;10000;0;0;0;1;6;112.5;H;25R
865;64851;67821.85121;209.1549681;176.3479103;3543.3;272;414;1016;210;0;8;10000;0;0;0;0;6;125;M;25R
1297;64981;67813.76321;259.7324939;242.4218501;3825.24;268;446;1016;210;0;8;10000;1;0;0;0;6;125;M;25R
1675;65166;67748.26096;38.40504051;44.39708409;4587.24;243;456;1016;210;0;8;10000;1;0;0;0;6;126.6666667;M;25R
1249;65342;67800.57168;276.0806895;272.7214021;3916.68;251;456;1016;210;0;8;10000;1;0;0;0;6;125;M;25R
1065;65283;67741.07563;225.5501189;176.5040393;3162.3;257;430;1016;210;0;8;10000;1;0;0;0;6;126.6666667;M;25R
1249;81288;67943.8144;224.8513343;231.2198278;4907.28;263;428;1016;260;40;5;8000;1;0;0;0;6;100;M;2
846;80774;67987.459;65.91387902;136.705826;3558.54;256;316;1017;250;0;5;9000;1;0;0;0;6;100;M;2
1193;65508;67940.004;208.8467023;153.3714704;3909.06;261;440;1016;210;0;8;10000;1;0;0;0;6;125;M;25R
1303;65507;67796.97273;97.95675891;86.16993135;7231.38;305;458;1016;210;0;8;10000;1;0;0;0;6;126.6666667;M;25R
1120;65607;67809.75745;225.5351221;175.7974482;3848.1;272;410;1016;210;0;8;10000;1;0;0;0;6;125;M;25R
732;81969;67902.50706;75.85933285;135.532366;4213.86;231;300;1016;260;40;5;8000;1;0;0;0;6;100;M;2
1703;65751;67918.25622;208.9496028;175.9222488;5006.34;280;440;1016;210;0;8;10000;0;0;0;0;6;122.2222222;M;25R
1591;65838;67876.57913;38.50509241;43.1209802;5158.74;258;458;1016;210;0;8;10000;1;0;0;0;6;120;M;25R
1239;65789;67908.27068;208.9058542;175.802845;4564.38;248;412;1016;210;0;8;10000;1;0;0;0;6;122.2222222;M;25R
1126;65834;67948.94167;208.760185;147.2413624;3299.46;301;382;1016;210;0;8;10000;1;0;0;0;6;121.0526316;M;25R
1163;66172;67787.37791;225.5102397;197.2934572;2788.92;269;376;1016;210;0;8;10000;1;0;0;0;6;122.2222222;M;25R
1202;66220;67855.62423;225.8192597;177.9167137;3345.18;258;424;1016;210;0;8;10000;1;0;0;0;6;122.2222222;M;25R
1086;66597;67958.36865;225.395205;179.4540247;3322.32;246;398;1016;210;0;8;10000;1;0;0;0;6;122.2222222;M;25R
1024;66418;67794.82042;276.0767723;271.801654;3253.74;255;442;1016;210;0;8;10000;1;0;0;0;6;123.5294118;M;25R
1423;66440;67819.52303;38.48700009;32.1420824;4610.1;253;472;1016;210;0;8;10000;1;0;0;0;6;122.2222222;M;25R
1179;66647;67897.1733;259.6481965;238.0746792;4175.76;252;440;1017;230;0;8;10000;1;0;0;0;6;121.0526316;M;25R
1312;66658;67977.28289;208.9140083;174.5382055;3787.14;272;412;1017;230;0;8;10000;1;0;0;0;6;120;M;25R
1183;66982;67821.92399;259.7960467;232.8249262;3962.4;255;446;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1224;67494;67827.37377;208.9688294;176.2156906;4366.26;256;430;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1042;67525;67833.79192;223.9187376;211.8494955;3817.62;273;426;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1434;67568;67568.77003;92.77897292;86.02647664;5158.74;300;394;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
1178;67725;67989.73989;208.7413173;147.0985784;3048;299;394;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
